step,score_value,n_cumul_links,num_total,num_unaffected,num_delayed,num_infeasible,num_feasible,pct_unaffected,pct_delayed,pct_infeasible,reachability,F_value_2024,val_infeasible_day,val_total_day
20,2.092922918830192,66,10074017,8215670,1720973,137374,9936643,81.55306865176027,17.083284651991356,1.3636466962483784,0.9863635330375162,0.9863412851141922,26.496114620894883,1537.3871452015765
21,2.0924208408761977,82,10074017,8066585,1870058,137374,9936643,80.07317239984805,18.563180903903575,1.3636466962483784,0.9863635330375162,0.9863393498567679,26.496114620894883,1537.3871452015765
22,2.092129160100233,89,10074017,7524234,2412409,137374,9936643,74.68951064902907,23.946842654722538,1.3636466962483784,0.9863635330375162,0.9863331644365004,26.496114620894883,1537.3871452015765
23,2.0892004293926694,100,10074017,7279097,2652421,142499,9931518,72.25615164238853,26.329328211377845,1.4145201462336225,0.9858547985376638,0.9858213295080454,27.348060394481728,1537.3871452015765
24,2.0852805622327426,101,10074017,7266760,2664758,142499,9931518,72.13368808093136,26.45179177283501,1.4145201462336225,0.9858547985376638,0.985821291000273,27.348060394481728,1537.3871452015765
25,2.083793446626083,104,10074017,7205932,2725586,142499,9931518,71.52987730713576,27.055602546630602,1.4145201462336225,0.9858547985376638,0.9858183189385091,27.348060394481728,1537.3871452015765
26,2.0783892262930026,105,10074017,7203995,2725008,145014,9929003,71.51064962467306,27.04986501412495,1.4394853612019913,0.9856051463879801,0.9855686671399405,27.432046444744536,1537.3871452015765
27,2.0748357195675355,110,10074017,7030438,2890310,153269,9920748,69.78783140826545,28.690739751580725,1.5214288401538334,0.9847857115984616,0.984748440340451,29.043311255176445,1537.3871452015765
28,2.0727674385695405,112,10074017,6861448,3054626,157943,9916074,68.11034763987395,30.321826933585676,1.5678254265403762,0.9843217457345962,0.9842815981299335,29.279201761002565,1537.3871452015765
29,2.0723300909201674,114,10074017,6827870,3082116,164031,9909986,67.77703472209745,30.594707156043118,1.6282581218594332,0.9837174187814056,0.9836770605704759,29.435452536343846,1537.3871452015765
30,2.069939511426801,128,10074017,6786107,3112685,175225,9898792,67.36247318224696,30.898151154599006,1.7393756631540327,0.9826062433684597,0.9825648111003542,31.60741015876235,1537.3871452015765
31,2.067468397103252,134,10074017,6675536,3223256,175225,9898792,66.26488718452629,31.995737152319677,1.7393756631540327,0.9826062433684597,0.9825646980733146,31.60741015876235,1537.3871452015765
32,2.067226383809049,137,10074017,6632799,3265993,175225,9898792,65.84065720754691,32.41996712929907,1.7393756631540327,0.9826062433684597,0.9825636734927993,31.60741015876235,1537.3871452015765
33,2.065245784658665,138,10074017,6626027,3264295,183695,9890322,65.7734347678786,32.40311188674786,1.8234533453735486,0.9817654665462645,0.981722901474103,32.378688585530256,1537.3871452015765
34,2.0635660743792017,140,10074017,6623523,3261022,189472,9884545,65.74857874470531,32.37062236444508,1.8807988908495985,0.981192011091504,0.9811494489947682,32.46513293647912,1537.3871452015765
