step,score_value,n_cumul_links,num_total,num_unaffected,num_delayed,num_infeasible,num_feasible,pct_unaffected,pct_delayed,pct_infeasible,reachability,F_value_2024,val_infeasible_day,val_total_day
18,733.3709964242058,18,10074017,8605563,1454338,14116,10059901,85.4233519756816,14.436525171637093,0.14012285268130875,0.9985987714731869,0.9985831244762929,1.8994071182858345,1537.3871452015765
19,722.9739143496622,19,10074017,8515128,1544773,14116,10059901,84.5256465221371,15.334230625181593,0.14012285268130875,0.9985987714731869,0.9985822807580881,1.8994071182858345,1537.3871452015765
20,711.7238141225844,20,10074017,8512794,1547107,14116,10059901,84.5024780085243,15.357399138794387,0.14012285268130875,0.9985987714731869,0.9985822715599504,1.8994071182858345,1537.3871452015765
21,709.7352301455244,21,10074017,8358778,1701123,14116,10059901,82.97363405283116,16.886243094487533,0.14012285268130875,0.9985987714731869,0.9985795553080109,1.8994071182858345,1537.3871452015765
22,685.1592837382409,22,10074017,8355271,1704630,14116,10059901,82.93882172325101,16.921055424067678,0.14012285268130875,0.9985987714731869,0.9985795393789432,1.8994071182858345,1537.3871452015765
23,677.3842641671151,23,10074017,8353427,1706474,14116,10059901,82.92051720778315,16.93935993953554,0.14012285268130875,0.9985987714731869,0.998579518346852,1.8994071182858345,1537.3871452015765
24,675.7877065071543,24,10074017,8352962,1693174,27881,10046136,82.91590137280888,16.807337132744564,0.27676149444655496,0.9972323850555345,0.9972131810941536,3.314566382648613,1537.3871452015765
25,674.4283374474201,25,10074017,8338601,1707535,27881,10046136,82.7733465210551,16.94989198449834,0.27676149444655496,0.9972323850555345,0.9972131407139044,3.314566382648613,1537.3871452015765
26,668.5922455526821,26,10074017,8338434,1707702,27881,10046136,82.7716887910751,16.951549714478347,0.27676149444655496,0.9972323850555345,0.9972131407138362,3.314566382648613,1537.3871452015765
27,661.8745182925843,27,10074017,8336985,1705106,31926,10042091,82.75730525370366,16.92578045083704,0.3169142954592989,0.996830857045407,0.9968116842143242,3.527370514483178,1537.3871452015765
28,629.3610829593007,28,10074017,8332618,1702501,38898,10035119,82.71395611105282,16.899921848454298,0.3861220404928838,0.9961387795950711,0.996119619281122,4.547838651548121,1537.3871452015765
29,627.6999597735326,29,10074017,8332141,1702978,38898,10035119,82.70922115775663,16.904656801750484,0.3861220404928838,0.9961387795950711,0.9961195530777606,4.547838651548121,1537.3871452015765
30,613.7435769032988,30,10074017,8301466,1733653,38898,10035119,82.40472494735714,17.20915301214997,0.3861220404928838,0.9961387795950711,0.9961179940446376,4.547838651548121,1537.3871452015765
31,586.6967971393647,31,10074017,8299253,1728796,45968,10028049,82.38275754349034,17.1609398713542,0.45630258515545485,0.9954369741484455,0.9954162237976365,5.724398210328949,1537.3871452015765
32,585.7202649284357,32,10074017,8287369,1740680,45968,10028049,82.26479069868554,17.278906716159007,0.45630258515545485,0.9954369741484455,0.9954160753298432,5.724398210328949,1537.3871452015765
33,585.0353255211704,33,10074017,8266453,1761596,45968,10028049,82.05716746358478,17.48652995125976,0.45630258515545485,0.9954369741484455,0.99541605814922,5.724398210328949,1537.3871452015765
34,584.8340785329065,34,10074017,8265795,1762254,45968,10028049,82.05063580893302,17.493061605911524,0.45630258515545485,0.9954369741484455,0.9954159815708187,5.724398210328949,1537.3871452015765
35,584.7076697514013,35,10074017,8206039,1822010,45968,10028049,81.45746627189531,18.086231142949234,0.45630258515545485,0.9954369741484455,0.9954150450184013,5.724398210328949,1537.3871452015765
