scenario_name,disruption_percentage,num_total_ods,num_unaffected,num_delayed,num_infeasible,num_feasible,pct_unaffected,pct_delayed,pct_infeasible,pct_feasible,reachability,F_tons_2024,F_value_2024,F_tons_2050,F_value_2050,unaffected_tons_2024,delayed_tons_2024,infeasible_tons_2024,total_tons_2024,unaffected_value_2024,delayed_value_2024,infeasible_value_2024,total_value_2024
Value_2024,0.3,10583744,8958686,1562663,62395,10521349,84.64571705438075,14.764746766361696,0.5895361792575482,99.41046382074245,0.9941046382074246,0.983605418218975,0.9940654248458795,0.9813038581684932,0.9940284376154913,3553995.8146846434,590126.4730611331,52605.729058073564,4196728.01680385,1210.756457527144,383.2037189795754,17.26638593664814,1611.2265624433676
Value_2024,0.4,10583744,8780923,1700667,102154,10481590,82.96613183387656,16.06867097314523,0.9651971929782127,99.03480280702178,0.9903480280702178,0.9778766833707412,0.9903041356485945,0.9750762094548965,0.9902636448855555,3502022.7601615298,627822.5515812406,66882.70506110485,4196728.016803876,1195.9407972257945,395.86722567987675,19.418539537500074,1611.2265624431714
Value_2024,0.5,10583744,8702871,1736690,144183,10439561,82.22866123746002,16.409032569192906,1.3623061933470801,98.63769380665292,0.9863769380665292,0.9731672925261927,0.9863301167197035,0.9702163509300766,0.9862872114210548,3482929.5753720673,636259.5188016985,77538.92262996802,4196728.016803734,1189.4851257944706,400.7032376336615,21.038199015048885,1611.226562443181
Value_2024,0.6,10583744,8631977,1761442,190325,10393419,81.55882266237732,16.64290065972873,1.7982766778939476,98.20172332210605,0.9820172332210605,0.9687183602856914,0.9819705060279241,0.9657273928411618,0.981927585373314,3469934.7813954493,635380.5544699033,91412.6809385851,4196728.016803938,1185.9833769098689,400.29714385642933,24.946041676944517,1611.2265624432428
Value_2024,0.7,10583744,7852623,2517451,213670,10370074,74.1951335935563,23.786015610354898,2.0188507960887945,97.98114920391122,0.9798114920391121,0.9625612962321798,0.9797534292770793,0.9580971325807691,0.9797007821578222,3243560.6332066148,857080.0452654781,96087.33833216339,4196728.0168042565,1094.4485582374414,490.14291311754135,26.635091088615447,1611.2265624435981
Value_2024,0.8,10583744,7304860,3015262,263622,10320122,69.01962103391767,28.489559082305842,2.4908198837764783,97.50918011622353,0.9750918011622353,0.9522524373148649,0.975013118950002,0.9467656138756928,0.9749408237238529,3119892.5263462374,932352.4282953873,144483.06216188092,4196728.016803506,996.5559198667961,551.907746677848,62.762895899170736,1611.2265624438148
Value_2024,0.9,10583744,7249760,3052863,281121,10302623,68.49901131395468,28.844830336032317,2.656158350013001,97.343841649987,0.97343841649987,0.9503948098925897,0.973360267404414,0.9448429771279006,0.9732879294888841,3030539.5718062096,1003684.8047178687,162503.6402795781,4196728.016803657,956.5255600079876,588.9883296143436,65.71267282131765,1611.2265624436488
Value_2024,1.0,10583744,7155259,3136075,292410,10291334,67.60612312618295,29.63105494615138,2.762821927665673,97.23717807233433,0.9723717807233433,0.9492017444603764,0.9722936764468437,0.9436372998146931,0.9722214854345574,2945185.8250238826,1081258.2950998012,170283.89667994273,4196728.016803626,913.5742372504667,626.9368161918654,70.715509001361,1611.226562443693
Tons_2050,0.1,10583744,9393354,1158525,31865,10551879,88.75265690477774,10.946268163704639,0.30107493151761794,99.69892506848238,0.9969892506848238,0.9900944174237595,0.996973058901014,0.9880392118123397,0.9969627610122241,3794294.515832894,388634.0032485358,13799.49772276486,4196728.016804194,1426.0741539792823,182.15714284552905,2.9952656186526077,1611.226562443464
Tons_2050,0.2,10583744,9256535,1277050,50159,10533585,87.45992911393171,12.06614596876115,0.47392491730714575,99.52607508269286,0.9952607508269286,0.9869422142532451,0.9952429315328452,0.9844958896669229,0.9952310098393071,3749373.656131371,419384.1478388846,27970.212833885256,4196728.016804141,1420.3326417216326,186.1223403138318,4.771580408039277,1611.2265624435036
